id,latent_0,latent_1,latent_2,latent_3,latent_4
5Xreac1zESuztIsppb6xmv,-0.33778286,-3.0213277,-0.35982046,0.39058924,-0.20741741
6XYmvp6obXPvNZQCOL2QaP,0.4083042,-0.17308438,-0.42654425,-1.9338617,0.22478823
3dPXl6XAClh2jsv6fcEeUk,1.1262486,0.49795288,-0.3476482,0.92013454,0.84283704
25uR1hVirQl4BEXZjkAkTc,-2.2902591,0.89763314,-1.6612611,-0.37473866,-0.49651265
0qJQwYR4ORaandwUlA2idm,-1.1349148,0.7007481,-0.1684961,0.7337271,0.050362214
7Mxz1dZeCBAyDoKmr79utt,0.972243,0.12082126,-0.093522474,0.5400392,0.38234016
58uJ3yzBXv13GYhaX5Td2m,-1.4684279,-0.14223816,-0.5288386,0.69821805,-1.2107254
5QDTiTFwsz5n0CPQk1M2jA,-0.94460315,-2.3954186,-0.19694522,-0.9558751,0.50990015
4hnGq4vsNquGNFJUap3MQm,0.13443935,-0.007477574,0.13848752,0.54000944,-0.104799256
2TT5ubLOQknqdqbDOyDkdR,0.8072634,1.678688,-0.33362287,-2.1558855,-0.94002724
5Alju3I4XGseizbdIcqyei,-1.1751496,1.9457756,0.20199668,0.024501598,-1.0643238
266pNKGHIeNSNZ1kDEopvn,-2.256821,-2.0788417,-0.14171064,2.3919666,-1.4860778
3G7PzWSg4J4YtfwhMdc8Qu,-0.22248459,-0.9804321,0.5925198,2.7838566,-0.93134075
60IpPvVJA2yWoAjLNUMEeJ,0.50209665,0.6563214,2.642992,0.6581163,-0.3158056
2hmD8a1FQRD5CENoEaxUOs,-1.0937401,-0.051232617,-0.038183004,0.5119367,-1.2729175
0wsQ0evPkrWvoNLVQKwzhd,-0.6491153,-0.7040265,0.27479175,0.007536848,-0.83431655
16QESkFbgMPaFsjDpuIWUK,0.5610286,-1.8447422,-0.16829301,0.21974318,-0.7361132
5Ut7BkqUeOXXemqonXh6sQ,0.70034844,-0.12170302,1.0468936,1.2079772,-0.19282293
2JfYhRjSQlNH6vtQDZnGo0,0.040851906,-0.909678,-0.5719556,-0.45032135,0.05046304
1fFYarJGASXgYejeZoq5zh,-0.29698563,-0.9379156,1.6944348,0.026300129,0.39724272
0matTt0gj1QeGsQa0sSupO,-0.44281045,-0.2585659,-0.3284788,1.0304042,-0.26657167
52oBcHvvq0O13fDAPO5unt,-1.0845779,0.8396898,-0.6991308,0.49463448,-0.5011511
0c7pnOd74XpinWSxkpNH4Y,1.7894434,-0.41620165,0.6474249,-0.7548894,0.93958354
6m3RlMxzF7oaRLkKjlZsQm,0.9372654,-1.2060599,-0.54558134,0.23971887,2.2399726
3v7pnPpDrInweVRUuwq6Sr,-1.4637443,0.87372464,0.14805141,-0.33418924,0.49935517
092lapqaoXMUeFEDXkBDkb,1.0921351,-0.81028223,0.5137913,-0.15725234,-0.30685142
7dRy18c2fADlN3IS3EaTDz,-0.82396567,0.1750549,-2.7631323,-0.371695,-1.5594864
12l6gEolXJTpIi7wvFb4YQ,1.4747877,-1.0725063,-0.86514133,-0.6750769,-1.0645375
2Yfo67Jdws2t4GN0OXt6o7,0.61637074,1.946117,-0.4227889,-0.5434408,-0.37866578
1vMA3PTm4RP5ObFutJ80QY,-0.824973,1.252,0.8962691,-1.3769152,-0.6829123
2mraPnR8PKKxAJcEsegfiY,-0.24983628,0.71612847,0.41000718,0.012986669,-0.14535819
3SZLtkoHoECHHuOnNkNCuS,1.3114727,0.10454547,-0.7858648,-0.04530152,-0.054506015
05S5yY7H0WuiQsEhrtjQj5,-0.42266384,-0.44380307,1.5335505,-0.0112703005,-1.46736
1dDNz8h95Gsu0W4QdxVVln,-0.8941699,-0.04652241,0.2858947,-1.2524298,0.0076184543
3G81fQKp3zRnw1mzLmjSKi,1.0080918,0.07726957,0.48432896,0.12271012,1.5886068
4B2OBiujRa2RtJI1QSQZ0S,1.1238332,-2.006631,0.53650606,-0.5497518,-0.56627846
3djbxMJ65WWum2tc2WVDN6,-0.24022272,0.551003,-0.90544224,0.7640701,0.69618124
2U16VVN9XZmHXLyHBuzzoU,0.20079914,0.32953435,-0.7470262,-3.272117,1.306508
